Interop-Mulesoft, 20220405.1, CICD- Dev - Salesforce System API, succeeded, 04/06/2022 01:31:01
Interop-Mulesoft, 2553, Hubble System API Build, succeeded, 04/05/2022 19:53:33
Interop-Mulesoft, 20220405.1, YAML - Dev - repo-interop-api-error-logging, succeeded, 04/05/2022 18:36:51
Interop-Mulesoft, BiDirectional Sync Release, dev, succeeded, 05/02/2022 20:54:12
Interop-Mulesoft, test, dev, failed, 01/14/2022 15:33:08
Interop-Mulesoft, New release pipeline, dev, failed, 01/14/2022 15:22:36
Interop-Mulesoft, Affiliate System API - Release, dev, succeeded, 01/14/2022 09:09:00
Interop-Mulesoft, Discovery Data Process API Release, Prod, succeeded, 01/12/2022 22:30:59
Interop-Mulesoft, Discovery Data Process API Release, Dev, succeeded, 01/12/2022 22:25:32
Interop-Mulesoft, Affiliate System API - Release, dev, succeeded, 01/12/2022 17:48:29
Interop-Mulesoft, Affiliate System API - Release, dev, succeeded, 01/12/2022 17:34:38
Interop-Mulesoft, Advisory Process API - Release, dev, succeeded, 01/06/2022 16:35:21
Interop-Mulesoft, Advisory Process API - Release, dev, succeeded, 01/03/2022 21:38:47
Interop-Mulesoft, Advisory Process API - Release, dev, succeeded, 01/03/2022 18:14:00
Interop-Mulesoft, Discovery Data Process API Release, Prod, succeeded, 12/23/2021 16:27:16
Interop-Mulesoft, Discovery Data Process API Release, Dev, succeeded, 12/22/2021 03:02:11
Interop-Mulesoft, Discovery Data Process API Release, Dev, succeeded, 12/20/2021 22:49:47
Interop-Mulesoft, Discovery Data Process API Release, Dev, succeeded, 12/10/2021 14:53:47
Interop-Mulesoft, Discovery Data Process API Release, Prod, succeeded, 12/10/2021 14:45:15
Interop-Mulesoft, OneTimeDownload - Part1 Release, Prod, succeeded, 12/06/2021 18:27:08
Interop-Mulesoft, OneTimeDownload - Part1 Release, dev, succeeded, 12/06/2021 18:17:32
Interop-Mulesoft, OneTimeDownload - Part2 Release, Prod, succeeded, 12/06/2021 16:29:56
Interop-Mulesoft, OneTimeDownload - Part2 Release, dev, succeeded, 12/06/2021 16:24:33
Interop-Mulesoft, OneTimeDownload - Part1 Release, Prod, succeeded, 12/06/2021 13:45:58
Interop-Mulesoft, OneTimeDownload - Part1 Release, dev, succeeded, 12/06/2021 00:28:51
Interop-Mulesoft, New release pipeline, dev, failed, 01/17/2022 17:34:37
Interop-Mulesoft, New release pipeline, dev, failed, 01/19/2022 10:04:36
Interop-Mulesoft, New release pipeline, test, failed, 01/19/2022 10:05:28
Interop-Mulesoft, Affiliate System API - Release, QA, failed, 01/19/2022 10:10:43
Interop-Mulesoft, BiDirectional Sync Release, dev, succeeded, 05/02/2022 14:32:24
Interop-Mulesoft, Hubble System API - Release, dev, succeeded, 04/14/2022 14:51:08
Interop-Mulesoft, BiDirectional Sync Release, Prod, succeeded, 04/06/2022 01:18:52
Interop-Mulesoft, Salesforce System API - Release, Prod, succeeded, 04/06/2022 01:10:44
Interop-Mulesoft, Hubble System API - Release, dev, succeeded, 04/05/2022 20:04:07
Interop-Mulesoft, BiDirectional Sync Release, dev, succeeded, 03/23/2022 16:09:14
Interop-Mulesoft, Salesforce System API - Release, dev, succeeded, 03/23/2022 16:01:06
Interop-Mulesoft, BiDirectional Sync Release, Prod, succeeded, 03/09/2022 02:19:45
Interop-Mulesoft, Salesforce System API - Release, Prod, succeeded, 03/09/2022 02:11:31
Interop-Mulesoft, BiDirectional Sync Release, dev, succeeded, 03/07/2022 17:17:45
Interop-Mulesoft, Discovery Data System API Release, Prod, succeeded, 12/03/2021 23:02:56
Interop-Mulesoft, Salesforce System API - Release, dev, succeeded, 03/03/2022 17:32:37
Interop-Mulesoft, BiDirectional Sync Release, Prod, succeeded, 02/16/2022 02:17:45
Interop-Mulesoft, Salesforce System API - Release, Prod, succeeded, 02/16/2022 02:09:55
Interop-Mulesoft, BiDirectional Sync Release, dev, succeeded, 02/15/2022 04:25:38
Interop-Mulesoft, Salesforce System API - Release, dev, succeeded, 02/15/2022 04:15:09
Interop-Mulesoft, OneTimeDownload - Part1 Release, dev, succeeded, 02/03/2022 18:21:52
Interop-Mulesoft, OneTimeDownload - Part1 Release, dev, failed, 02/03/2022 18:12:00
Interop-Mulesoft, OneTimeDownload - Part1 Release, dev, failed, 02/03/2022 18:05:27
Interop-Mulesoft, Discovery Data System API Release, Prod, succeeded, 01/25/2022 18:39:04
Interop-Mulesoft, Hubble System API - Release, dev, succeeded, 01/25/2022 18:26:59
Interop-Mulesoft, Discovery Data System API Release, dev, succeeded, 01/25/2022 18:19:50
Interop-Mulesoft, OneTimeDownload - Part1 Release, Prod, succeeded, 03/03/2022 01:12:33
Interop-Mulesoft, Discovery Data System API Release, dev, succeeded, 12/03/2021 22:58:04
Data Management, ci-repo-dst-snowflake-cdw_merge_20220502_.2, ci-repo-dst-snowflake-cdw, succeeded, 05/02/2022 16:16:17
Data Management, ci-repo-dst-snowflake-cdw_merge_20220502_.1, ci-repo-dst-snowflake-cdw, succeeded, 05/02/2022 15:24:52
Data Management, ci-repo-dst-sql-dba_develop_20220502_10_51.1, ci-repo-dst-sql-dba, succeeded, 05/02/2022 14:52:21
Data Management, ci-repo-dst-sql-dba_merge_20220502_10_51.1, ci-repo-dst-sql-dba, failed, 05/02/2022 14:51:35
Data Management, ci-repo-dst-mdm-profisee_bugfix-0429-mdm_20220429_.2, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 20:22:42
Data Management, ci-repo-dst-mdm-profisee_bugfix-0429-mdm_20220429_.1, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 20:21:38
Data Management, ci-repo-dst-mdm-profisee_bugfix-0429-mdm-deployment_20220429_.1, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 19:45:01
Data Management, ci-repo-dst-mdm-profisee_release-1.2_20220429_.1, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 19:12:56
Data Management, ci-repo-dst-mdm-profisee_merge_20220429_.2, ci-repo-dst-mdm-profisee, failed, 04/29/2022 19:12:30
Data Management, ci-repo-dst-mdm-profisee_develop_20220429_.1, ci-repo-dst-mdm-profisee, succeeded, 04/29/2022 19:12:01
